更新日期,#genre#
2025-11-24,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
🍎┃历届春晚,#genre#
春晚1983,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8$IPV4
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4$IPV4
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4$IPV4
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8$IPV4
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8$IPV4
西游齐天乐1987,http://50069.njc.svp.tencent-cloud.com/0bc3fuaaiaaavuaibgr5f5rfalodaqwqabaa.f10003.mp4$IPV4
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8$IPV4
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4$IPV4
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8$IPV4
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8$IPV4
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8$IPV4
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8$IPV4
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8$IPV4
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8$IPV4
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8$IPV4
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8$IPV4
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8$IPV4
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8$IPV4
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8$IPV4
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8$IPV4
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8$IPV4
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8$IPV4
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8$IPV4
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8$IPV4
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8$IPV4
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8$IPV4
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8$IPV4•线路1
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4$IPV4•线路2
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4$IPV4
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4$IPV4
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8$IPV4
2023春晚网络,https://svip.high24-playback.com/20250129/17159_7bca93c4/2000k/hls/mixed.m3u8$IPV4•线路1
2023春晚网络,https://svipsvip.ffzyread1.com/20250129/35458_c988286f/index.m3u8$IPV4•线路2
2024年春晚,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$IPV4
非诚来扰,https://mursor.ottiptv.cc/yy/1382745106$IPV4
最佳酒友,https://mursor.ottiptv.cc/yy/1382736917$IPV4
功夫,http://ali.hlspull.yximgs.com/live/40097957e425b8c657707a6afd2babdf.flv$IPV4•线路1
功夫,http://ali.hlspull.yximgs.com/live/167_tvbgf.flv$IPV4•线路2
赵本山小品128分钟,https://mursor.ottiptv.cc/yy/1354936217$IPV4
🥝┃央视频道,#genre#
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$IPV4•线路1
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1$IPV4•线路2
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路3
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路4
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路5
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路6
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路7
CCTV1,https://v.lib.tju.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/319faa5444-0-0-93c6e2d1598737cd82cb99e49c9e22bc/index.m3u8$IPV4•线路8
CCTV1,http://111.43.126.240:9003/hls/13/index.m3u8$IPV4•线路9
CCTV1,http://ygbh.site/php/bfgd.php?id=488$IPV4•线路10
CCTV1,http://ygbh.site/php/bfgd.php?id=201$IPV4•线路11
CCTV1,http://ygbh.site/php/bfgd.php?id=484$IPV4•线路12
CCTV1,http://ygbh.site/php/bfgd.php?id=489$IPV4•线路13
CCTV1,http://sh.lnott.top:880/dx01.m3u8$IPV4•线路14
CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv1.flv$IPV4•线路15
CCTV1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$IPV4•线路16
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$IPV4•线路1
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2$IPV4•线路2
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$IPV4•线路3
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$IPV4•线路4
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$IPV4•线路5
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$IPV4•线路6
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$IPV4•线路7
CCTV2,http://liveali-tpsdr.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?wsSecret=763b6f36b8c9cc0562a9a0220290921b&wsTime=1760876425$IPV4•线路8
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8$IPV4•线路9
CCTV2,http://ygbh.site/php/bfgd.php?id=061$IPV4•线路10
CCTV2,http://sh.lnott.top:880/dx02.m3u8$IPV4•线路11
CCTV2,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv2.flv$IPV4•线路12
CCTV2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】$IPV4•线路13
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$IPV4•线路1
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3$IPV4•线路2
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$IPV4•线路3
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$IPV4•线路4
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$IPV4•线路5
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$IPV4•线路6
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$IPV4•线路7
CCTV3,https://tvpull.careryun.com/live/02b04ee89a7bea25b7778c181285fd0b.m3u8?txSecret=7e4ec46581a0e079a32202ea984c8428&txTime=68f4d75a$IPV4•线路8
CCTV3,http://111.43.126.240:9003/hls/15/index.m3u8$IPV4•线路9
CCTV3,http://ygbh.site/php/bfgd.php?id=062$IPV4•线路10
CCTV3,http://sh.lnott.top:880/dx03.m3u8$IPV4•线路11
CCTV3,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv3.flv$IPV4•线路12
CCTV3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】$IPV4•线路13
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$IPV4•线路1
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4$IPV4•线路2
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$IPV4•线路3
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$IPV4•线路4
CCTV4,http://183.11.239.36:808/hls/77/index.m3u8$IPV4•线路5
CCTV4,http://183.11.239.36:808/hls/67/index.m3u8$IPV4•线路6
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$IPV4•线路7
CCTV4,http://www.dsk.cc/php/bfgd.php?id=cctv4&m.m3u8$IPV4•线路8
CCTV4,http://111.43.126.240:9003/hls/16/index.m3u8$IPV4•线路9
CCTV4,http://ygbh.site/php/bfgd.php?id=063$IPV4•线路10
CCTV4,http://sh.lnott.top:880/dx04.m3u8$IPV4•线路11
CCTV4,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv4.flv$IPV4•线路12
CCTV4,http://php.cqshushu.ggff.net/jzb.php?id=cctv4&公众号【医工学习日志】$IPV4•线路13
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8$IPV4•线路1
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5$IPV4•线路2
CCTV5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$IPV4•线路3
CCTV5,http://gmxw.7766.org:808/hls/93/index.m3u8$IPV4•线路4
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8$IPV4•线路5
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$IPV4•线路6
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8$IPV4•线路7
CCTV5,https://tvpull.careryun.com/live/2fe3f8cc14c276a4d713fd6b9842e787.m3u8?txSecret=2ad58f18cd715554961a95bc236e6838&txTime=68f4d9d8$IPV4•线路8
CCTV5,http://111.43.126.240:9003/hls/17/index.m3u8$IPV4•线路9
CCTV5,http://ygbh.site/php/bfgd.php?id=064$IPV4•线路10
CCTV5,http://sh.lnott.top:880/dx05.m3u8$IPV4•线路11
CCTV5,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv5.flv$IPV4•线路12
CCTV5,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】$IPV4•线路13
CCTV5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$IPV4•线路1
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$IPV4•线路2
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$IPV4•线路3
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8$IPV4•线路4
CCTV5+,http://182.150.23.74:808/hls/16/index.m3u8$IPV4•线路5
CCTV5+,http://www.dsk.cc/php/bfgd.php?id=cctv5p&m.m3u8$IPV4•线路6
CCTV5+,http://111.43.126.240:9003/hls/18/index.m3u8$IPV4•线路7
CCTV5+,http://ygbh.site/php/bfgd.php?id=246$IPV4•线路8
CCTV5+,http://cfss.cc/api/ysp/cctv5p.m3u8$IPV4•线路9
CCTV5+,http://sh.lnott.top:880/dx16.m3u8$IPV4•线路10
CCTV5+,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv5p.flv$IPV4•线路11
CCTV5+,http://php.cqshushu.ggff.net/jzb.php?id=cctv5plus&公众号【医工学习日志】$IPV4•线路12
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8$IPV4•线路1
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6$IPV4•线路2
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$IPV4•线路3
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8$IPV4•线路4
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8$IPV4•线路5
CCTV6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8$IPV4•线路6
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8$IPV4•线路7
CCTV6,http://www.dsk.cc/php/bfgd.php?id=cctv6&m.m3u8$IPV4•线路8
CCTV6,http://111.43.126.240:9003/hls/19/index.m3u8$IPV4•线路9
CCTV6,http://ygbh.site/php/bfgd.php?id=065$IPV4•线路10
CCTV6,http://sh.lnott.top:880/dx06.m3u8$IPV4•线路11
CCTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv6.flv$IPV4•线路12
CCTV6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】$IPV4•线路13
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8$IPV4•线路1
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7$IPV4•线路2
CCTV7,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8$IPV4•线路3
CCTV7,http://8.138.7.223/tv/cctv7.m3u8$IPV4•线路4
CCTV7,http://8.138.7.223/【公众号：榴芒电视】/cctv7.m3u8$IPV4•线路5
CCTV7,http://183.11.239.36:808/hls/25/index.m3u8$IPV4•线路6
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8$IPV4•线路7
CCTV7,http://www.dsk.cc/php/bfgd.php?id=cctv7&m.m3u8$IPV4•线路8
CCTV7,http://111.43.126.240:9003/hls/20/index.m3u8$IPV4•线路9
CCTV7,http://ygbh.site/php/bfgd.php?id=127$IPV4•线路10
CCTV7,http://sh.lnott.top:880/dx07.m3u8$IPV4•线路11
CCTV7,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv7.flv$IPV4•线路12
CCTV7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】$IPV4•线路13
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8$IPV4•线路1
CCTV8,https://iptv.catvod.com/live.php?id=CCTV8$IPV4•线路2
CCTV8,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8$IPV4•线路3
CCTV8,http://iptv77.iptv66.eu.org:35455/gaoma/cctv8.m3u8$IPV4•线路4
CCTV8,http://gmxw.7766.org:808/hls/96/index.m3u8$IPV4•线路5
CCTV8,http://183.11.239.36:808/hls/96/index.m3u8$IPV4•线路6
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8$IPV4•线路7
CCTV8,http://www.dsk.cc/php/bfgd.php?id=cctv8&m.m3u8$IPV4•线路8
CCTV8,http://111.43.126.240:9003/hls/21/index.m3u8$IPV4•线路9
CCTV8,http://ygbh.site/php/bfgd.php?id=066$IPV4•线路10
CCTV8,http://sh.lnott.top:880/dx08.m3u8$IPV4•线路11
CCTV8,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv8.flv$IPV4•线路12
CCTV8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】$IPV4•线路13
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8$IPV4•线路1
CCTV9,https://iptv.catvod.com/live.php?id=CCTV9$IPV4•线路2
CCTV9,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8$IPV4•线路3
CCTV9,http://183.11.239.36:808/hls/27/index.m3u8$IPV4•线路4
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8$IPV4•线路5
CCTV9,http://112.46.85.60:8009/hls/509/index.m3u8$IPV4•线路6
CCTV9,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8$IPV4•线路7
CCTV9,http://www.dsk.cc/php/bfgd.php?id=cctv9&m.m3u8$IPV4•线路8
CCTV9,http://111.43.126.240:9003/hls/22/index.m3u8$IPV4•线路9
CCTV9,http://ygbh.site/php/bfgd.php?id=128$IPV4•线路10
CCTV9,http://sh.lnott.top:880/dx09.m3u8$IPV4•线路11
CCTV9,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv9.flv$IPV4•线路12
CCTV9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】$IPV4•线路13
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8$IPV4•线路1
CCTV10,https://iptv.catvod.com/live.php?id=CCTV10$IPV4•线路2
CCTV10,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8$IPV4•线路3
CCTV10,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8$IPV4•线路4
CCTV10,http://183.11.239.36:808/hls/28/index.m3u8$IPV4•线路5
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8$IPV4•线路6
CCTV10,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8$IPV4•线路7
CCTV10,http://www.dsk.cc/php/bfgd.php?id=cctv10&m.m3u8$IPV4•线路8
CCTV10,http://111.43.126.240:9003/hls/23/index.m3u8$IPV4•线路9
CCTV10,http://ygbh.site/php/bfgd.php?id=129$IPV4•线路10
CCTV10,http://sh.lnott.top:880/dx10.m3u8$IPV4•线路11
CCTV10,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv10.flv$IPV4•线路12
CCTV10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】$IPV4•线路13
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8$IPV4•线路1
CCTV11,https://iptv.catvod.com/live.php?id=CCTV11$IPV4•线路2
CCTV11,http://58.57.40.22:9901/tsfile/live/1011_1.m3u8$IPV4•线路3
CCTV11,http://183.11.239.36:808/hls/29/index.m3u8$IPV4•线路4
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8$IPV4•线路5
CCTV11,https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8$IPV4•线路6
CCTV11,http://182.150.23.74:808/hls/11/index.m3u8$IPV4•线路7
CCTV11,http://www.dsk.cc/php/bfgd.php?id=cctv11&m.m3u8$IPV4•线路8
CCTV11,http://111.43.126.240:9003/hls/24/index.m3u8$IPV4•线路9
CCTV11,http://ygbh.site/php/bfgd.php?id=130$IPV4•线路10
CCTV11,http://sh.lnott.top:880/dx11.m3u8$IPV4•线路11
CCTV11,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv11.flv$IPV4•线路12
CCTV11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$IPV4•线路13
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8$IPV4•线路1
CCTV12,https://iptv.catvod.com/live.php?id=CCTV12$IPV4•线路2
CCTV12,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8$IPV4•线路3
CCTV12,http://58.57.40.22:9901/tsfile/live/1012_1.m3u8$IPV4•线路4
CCTV12,http://183.11.239.36:808/hls/30/index.m3u8$IPV4•线路5
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8$IPV4•线路6
CCTV12,http://112.46.85.60:8009/hls/507/index.m3u8$IPV4•线路7
CCTV12,http://www.dsk.cc/php/bfgd.php?id=cctv12&m.m3u8$IPV4•线路8
CCTV12,http://111.43.126.240:9003/hls/25/index.m3u8$IPV4•线路9
CCTV12,http://ygbh.site/php/bfgd.php?id=131$IPV4•线路10
CCTV12,http://sh.lnott.top:880/dx12.m3u8$IPV4•线路11
CCTV12,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv12.flv$IPV4•线路12
CCTV12,http://php.cqshushu.ggff.net/jzb.php?id=cctv12&公众号【医工学习日志】$IPV4•线路13
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8$IPV4•线路1
